run_id,case,version,input_set,start_ts,end_ts,status,error_type,notes,commit_hash
bot-asis-A-0000-CEBCFD,bot,as-is,A,2026-04-21T17:50:48.546217+00:00,2026-04-21T17:50:49.203974+00:00,success,,,a126311
bot-asis-A-0001-3C4E38,bot,as-is,A,2026-04-21T17:50:49.306631+00:00,2026-04-21T17:50:49.539273+00:00,success,,,a126311
bot-asis-A-0002-462A99,bot,as-is,A,2026-04-21T17:50:49.641064+00:00,2026-04-21T17:50:49.811602+00:00,success,,,a126311
bot-asis-A-0003-D6BE03,bot,as-is,A,2026-04-21T17:50:49.914008+00:00,2026-04-21T17:50:50.077163+00:00,success,,,a126311
bot-asis-A-0004-84690F,bot,as-is,A,2026-04-21T17:50:50.179204+00:00,2026-04-21T17:50:50.321549+00:00,success,,,a126311
bot-asis-A-0005-4521AB,bot,as-is,A,2026-04-21T17:50:50.423941+00:00,2026-04-21T17:50:50.580013+00:00,success,,,a126311
bot-asis-A-0006-68652C,bot,as-is,A,2026-04-21T17:50:50.685357+00:00,2026-04-21T17:50:50.844485+00:00,success,,,a126311
bot-asis-A-0007-DBF1EA,bot,as-is,A,2026-04-21T17:50:50.946093+00:00,2026-04-21T17:50:51.085406+00:00,success,,,a126311
bot-asis-A-0008-46AB41,bot,as-is,A,2026-04-21T17:50:51.187296+00:00,2026-04-21T17:50:51.320741+00:00,success,,,a126311
bot-asis-A-0009-A3DA8C,bot,as-is,A,2026-04-21T17:50:51.423321+00:00,2026-04-21T17:50:51.584244+00:00,success,,,a126311
bot-asis-A-0010-B9E5B1,bot,as-is,A,2026-04-21T17:50:51.686023+00:00,2026-04-21T17:50:51.815463+00:00,success,,,a126311
bot-asis-A-0011-959484,bot,as-is,A,2026-04-21T17:50:51.918085+00:00,2026-04-21T17:50:52.045524+00:00,success,,,a126311
bot-asis-A-0012-82CF16,bot,as-is,A,2026-04-21T17:50:52.148167+00:00,2026-04-21T17:50:52.296221+00:00,success,,,a126311
bot-asis-A-0013-7900D2,bot,as-is,A,2026-04-21T17:50:52.398327+00:00,2026-04-21T17:50:52.561648+00:00,success,,,a126311
bot-asis-A-0014-BCD1C5,bot,as-is,A,2026-04-21T17:50:52.663783+00:00,2026-04-21T17:50:52.793649+00:00,success,,,a126311
bot-asis-A-0015-72F7D7,bot,as-is,A,2026-04-21T17:50:52.896467+00:00,2026-04-21T17:50:53.024460+00:00,success,,,a126311
bot-asis-A-0016-1488AB,bot,as-is,A,2026-04-21T17:50:53.126692+00:00,2026-04-21T17:50:53.268579+00:00,success,,,a126311
bot-asis-A-0017-2B8523,bot,as-is,A,2026-04-21T17:50:53.371639+00:00,2026-04-21T17:50:53.489867+00:00,success,,,a126311
bot-asis-A-0018-1E0876,bot,as-is,A,2026-04-21T17:50:53.592380+00:00,2026-04-21T17:50:53.740155+00:00,success,,,a126311
bot-asis-A-0019-760BDD,bot,as-is,A,2026-04-21T17:50:53.842082+00:00,2026-04-21T17:50:53.958786+00:00,success,,,a126311
bot-asis-A-0020-52984A,bot,as-is,A,2026-04-21T17:50:54.060712+00:00,2026-04-21T17:50:54.180118+00:00,success,,,a126311
bot-asis-A-0021-E6C0E1,bot,as-is,A,2026-04-21T17:50:54.282363+00:00,2026-04-21T17:50:54.434425+00:00,success,,,a126311
bot-asis-A-0022-49F34A,bot,as-is,A,2026-04-21T17:50:54.536018+00:00,2026-04-21T17:50:54.651793+00:00,success,,,a126311
bot-asis-A-0023-3338E1,bot,as-is,A,2026-04-21T17:50:54.757251+00:00,2026-04-21T17:50:54.886576+00:00,success,,,a126311
bot-asis-A-0024-103108,bot,as-is,A,2026-04-21T17:50:54.989145+00:00,2026-04-21T17:50:55.128786+00:00,success,,,a126311
bot-asis-A-0025-990F86,bot,as-is,A,2026-04-21T17:50:55.231202+00:00,2026-04-21T17:50:55.370917+00:00,success,,,a126311
bot-asis-A-0026-10444F,bot,as-is,A,2026-04-21T17:50:55.473806+00:00,2026-04-21T17:50:55.595311+00:00,success,,,a126311
bot-asis-A-0027-E13948,bot,as-is,A,2026-04-21T17:50:55.698260+00:00,2026-04-21T17:50:55.826133+00:00,success,,,a126311
bot-asis-A-0028-685073,bot,as-is,A,2026-04-21T17:50:55.928381+00:00,2026-04-21T17:50:56.073182+00:00,success,,,a126311
bot-asis-A-0029-BCB9E4,bot,as-is,A,2026-04-21T17:50:56.175310+00:00,2026-04-21T17:50:56.292492+00:00,success,,,a126311
bot-asis-A-0030-908D84,bot,as-is,A,2026-04-21T17:50:56.394860+00:00,2026-04-21T17:50:56.525959+00:00,success,,,a126311
bot-asis-A-0031-DF73DC,bot,as-is,A,2026-04-21T17:50:56.628983+00:00,2026-04-21T17:50:56.761800+00:00,success,,,a126311
bot-asis-A-0032-1D7ED8,bot,as-is,A,2026-04-21T17:50:56.865045+00:00,2026-04-21T17:50:56.974257+00:00,success,,,a126311
bot-asis-A-0033-CE9A0F,bot,as-is,A,2026-04-21T17:50:57.080068+00:00,2026-04-21T17:50:57.213048+00:00,success,,,a126311
bot-asis-A-0034-431416,bot,as-is,A,2026-04-21T17:50:57.315417+00:00,2026-04-21T17:50:57.438925+00:00,success,,,a126311
bot-asis-A-0035-A0C0D3,bot,as-is,A,2026-04-21T17:50:57.541133+00:00,2026-04-21T17:50:57.661759+00:00,success,,,a126311
bot-asis-A-0036-3A817B,bot,as-is,A,2026-04-21T17:50:57.764054+00:00,2026-04-21T17:50:57.882800+00:00,success,,,a126311
bot-asis-A-0037-D3EFD4,bot,as-is,A,2026-04-21T17:50:57.985471+00:00,2026-04-21T17:50:58.097724+00:00,success,,,a126311
bot-asis-A-0038-FFE3AF,bot,as-is,A,2026-04-21T17:50:58.199895+00:00,2026-04-21T17:50:58.333575+00:00,success,,,a126311
bot-asis-A-0039-74B6D2,bot,as-is,A,2026-04-21T17:50:58.435787+00:00,2026-04-21T17:50:58.549646+00:00,success,,,a126311
bot-asis-A-0040-A761E0,bot,as-is,A,2026-04-21T17:50:58.651863+00:00,2026-04-21T17:50:58.768338+00:00,success,,,a126311
bot-asis-A-0041-88A020,bot,as-is,A,2026-04-21T17:50:58.871178+00:00,2026-04-21T17:50:59.003014+00:00,success,,,a126311
bot-asis-A-0042-A7F235,bot,as-is,A,2026-04-21T17:50:59.105378+00:00,2026-04-21T17:50:59.220065+00:00,success,,,a126311
bot-asis-A-0043-06A261,bot,as-is,A,2026-04-21T17:50:59.322850+00:00,2026-04-21T17:50:59.442635+00:00,success,,,a126311
bot-asis-A-0044-3A7C81,bot,as-is,A,2026-04-21T17:50:59.544977+00:00,2026-04-21T17:50:59.677992+00:00,success,,,a126311
bot-asis-A-0045-9F2A11,bot,as-is,A,2026-04-21T17:50:59.780251+00:00,2026-04-21T17:50:59.892924+00:00,success,,,a126311
bot-asis-A-0046-A5AD04,bot,as-is,A,2026-04-21T17:50:59.995285+00:00,2026-04-21T17:51:00.111520+00:00,success,,,a126311
bot-asis-A-0047-6FDE0B,bot,as-is,A,2026-04-21T17:51:00.214868+00:00,2026-04-21T17:51:00.333812+00:00,success,,,a126311
bot-asis-A-0048-27D682,bot,as-is,A,2026-04-21T17:51:00.436405+00:00,2026-04-21T17:51:00.557036+00:00,success,,,a126311
bot-asis-A-0049-467D93,bot,as-is,A,2026-04-21T17:51:00.658968+00:00,2026-04-21T17:51:00.775792+00:00,success,,,a126311
bot-asis-A-0050-0A797A,bot,as-is,A,2026-04-21T17:51:00.878310+00:00,2026-04-21T17:51:00.992236+00:00,success,,,a126311
bot-asis-A-0051-79F32C,bot,as-is,A,2026-04-21T17:51:01.094634+00:00,2026-04-21T17:51:01.211445+00:00,success,,,a126311
bot-asis-A-0052-BD6656,bot,as-is,A,2026-04-21T17:51:01.313832+00:00,2026-04-21T17:51:01.422159+00:00,success,,,a126311
bot-asis-A-0053-E41561,bot,as-is,A,2026-04-21T17:51:01.524550+00:00,2026-04-21T17:51:01.637760+00:00,success,,,a126311
bot-asis-A-0054-3741BC,bot,as-is,A,2026-04-21T17:51:01.739933+00:00,2026-04-21T17:51:01.873648+00:00,success,,,a126311
bot-asis-A-0055-B69809,bot,as-is,A,2026-04-21T17:51:01.976399+00:00,2026-04-21T17:51:02.121020+00:00,success,,,a126311
bot-asis-A-0056-DFEACA,bot,as-is,A,2026-04-21T17:51:02.222960+00:00,2026-04-21T17:51:02.360251+00:00,success,,,a126311
bot-asis-A-0057-236BBB,bot,as-is,A,2026-04-21T17:51:02.462957+00:00,2026-04-21T17:51:02.659563+00:00,success,,,a126311
bot-asis-A-0058-04C5B3,bot,as-is,A,2026-04-21T17:51:02.762125+00:00,2026-04-21T17:51:02.916954+00:00,success,,,a126311
bot-asis-A-0059-AA3D63,bot,as-is,A,2026-04-21T17:51:03.019886+00:00,2026-04-21T17:51:03.171442+00:00,success,,,a126311
bot-asis-A-0060-32716F,bot,as-is,A,2026-04-21T17:51:03.273543+00:00,2026-04-21T17:51:03.425295+00:00,success,,,a126311
bot-asis-A-0061-312E73,bot,as-is,A,2026-04-21T17:51:03.527328+00:00,2026-04-21T17:51:03.681620+00:00,success,,,a126311
bot-asis-A-0062-398486,bot,as-is,A,2026-04-21T17:51:03.784654+00:00,2026-04-21T17:51:03.969552+00:00,success,,,a126311
bot-asis-A-0063-033FCC,bot,as-is,A,2026-04-21T17:51:04.071457+00:00,2026-04-21T17:51:04.193199+00:00,success,,,a126311
bot-asis-A-0064-A010AE,bot,as-is,A,2026-04-21T17:51:04.295556+00:00,2026-04-21T17:51:04.424023+00:00,success,,,a126311
bot-asis-A-0065-25044F,bot,as-is,A,2026-04-21T17:51:04.525941+00:00,2026-04-21T17:51:04.662680+00:00,success,,,a126311
bot-asis-A-0066-B39EE5,bot,as-is,A,2026-04-21T17:51:04.764816+00:00,2026-04-21T17:51:04.905901+00:00,success,,,a126311
bot-asis-A-0067-34265E,bot,as-is,A,2026-04-21T17:51:05.009256+00:00,2026-04-21T17:51:05.120719+00:00,success,,,a126311
bot-asis-A-0068-7390A3,bot,as-is,A,2026-04-21T17:51:05.223038+00:00,2026-04-21T17:51:05.338528+00:00,success,,,a126311
bot-asis-A-0069-78C853,bot,as-is,A,2026-04-21T17:51:05.441187+00:00,2026-04-21T17:51:05.558502+00:00,success,,,a126311
bot-asis-A-0070-B57A76,bot,as-is,A,2026-04-21T17:51:05.661568+00:00,2026-04-21T17:51:05.775334+00:00,success,,,a126311
bot-asis-A-0071-9FF878,bot,as-is,A,2026-04-21T17:51:05.878985+00:00,2026-04-21T17:51:06.014456+00:00,success,,,a126311
bot-asis-A-0072-EA779F,bot,as-is,A,2026-04-21T17:51:06.116354+00:00,2026-04-21T17:51:06.245415+00:00,success,,,a126311
bot-asis-A-0073-724164,bot,as-is,A,2026-04-21T17:51:06.347612+00:00,2026-04-21T17:51:06.476886+00:00,success,,,a126311
bot-asis-A-0074-B5E4E9,bot,as-is,A,2026-04-21T17:51:06.578996+00:00,2026-04-21T17:51:06.703182+00:00,success,,,a126311
bot-asis-A-0075-5398F4,bot,as-is,A,2026-04-21T17:51:06.805776+00:00,2026-04-21T17:51:06.934637+00:00,success,,,a126311
bot-asis-A-0076-7993DF,bot,as-is,A,2026-04-21T17:51:07.037644+00:00,2026-04-21T17:51:07.155330+00:00,success,,,a126311
bot-asis-A-0077-41D1DB,bot,as-is,A,2026-04-21T17:51:07.258432+00:00,2026-04-21T17:51:07.384723+00:00,success,,,a126311
bot-asis-A-0078-68A94C,bot,as-is,A,2026-04-21T17:51:07.487326+00:00,2026-04-21T17:51:07.631569+00:00,success,,,a126311
bot-asis-A-0079-B829C5,bot,as-is,A,2026-04-21T17:51:07.733729+00:00,2026-04-21T17:51:07.863311+00:00,success,,,a126311
bot-asis-A-0080-03FBEE,bot,as-is,A,2026-04-21T17:51:07.965071+00:00,2026-04-21T17:51:08.100581+00:00,success,,,a126311
bot-asis-A-0081-865258,bot,as-is,A,2026-04-21T17:51:08.202791+00:00,2026-04-21T17:51:08.344023+00:00,success,,,a126311
bot-asis-A-0082-B574B9,bot,as-is,A,2026-04-21T17:51:08.445714+00:00,2026-04-21T17:51:08.577695+00:00,success,,,a126311
bot-asis-A-0083-1B6336,bot,as-is,A,2026-04-21T17:51:08.679511+00:00,2026-04-21T17:51:08.802816+00:00,success,,,a126311
bot-asis-A-0084-23C73B,bot,as-is,A,2026-04-21T17:51:08.905263+00:00,2026-04-21T17:51:09.030225+00:00,success,,,a126311
bot-asis-A-0085-24731B,bot,as-is,A,2026-04-21T17:51:09.132504+00:00,2026-04-21T17:51:09.296288+00:00,success,,,a126311
bot-asis-A-0086-68DAE6,bot,as-is,A,2026-04-21T17:51:09.399127+00:00,2026-04-21T17:51:09.509359+00:00,success,,,a126311
bot-asis-A-0087-936988,bot,as-is,A,2026-04-21T17:51:09.611710+00:00,2026-04-21T17:51:09.721286+00:00,success,,,a126311
bot-asis-A-0088-351720,bot,as-is,A,2026-04-21T17:51:09.824169+00:00,2026-04-21T17:51:09.934837+00:00,success,,,a126311
bot-asis-A-0089-4FC5B0,bot,as-is,A,2026-04-21T17:51:10.037144+00:00,2026-04-21T17:51:10.164918+00:00,success,,,a126311
bot-asis-A-0090-59FFC1,bot,as-is,A,2026-04-21T17:51:10.266813+00:00,2026-04-21T17:51:10.383977+00:00,success,,,a126311
bot-asis-A-0091-DD7948,bot,as-is,A,2026-04-21T17:51:10.486406+00:00,2026-04-21T17:51:10.623846+00:00,success,,,a126311
bot-asis-A-0092-B288FE,bot,as-is,A,2026-04-21T17:51:10.725794+00:00,2026-04-21T17:51:10.835868+00:00,success,,,a126311
bot-asis-A-0093-8719CE,bot,as-is,A,2026-04-21T17:51:10.938654+00:00,2026-04-21T17:51:11.070475+00:00,success,,,a126311
bot-asis-A-0094-36CD6C,bot,as-is,A,2026-04-21T17:51:11.172989+00:00,2026-04-21T17:51:11.295561+00:00,success,,,a126311
bot-asis-A-0095-4DC2D9,bot,as-is,A,2026-04-21T17:51:11.397323+00:00,2026-04-21T17:51:11.515453+00:00,success,,,a126311
bot-asis-A-0096-402053,bot,as-is,A,2026-04-21T17:51:11.617437+00:00,2026-04-21T17:51:11.754194+00:00,success,,,a126311
bot-asis-A-0097-FF4988,bot,as-is,A,2026-04-21T17:51:11.856238+00:00,2026-04-21T17:51:11.968299+00:00,success,,,a126311
bot-asis-A-0098-38A11E,bot,as-is,A,2026-04-21T17:51:12.071223+00:00,2026-04-21T17:51:12.218965+00:00,success,,,a126311
bot-asis-A-0099-27DFE0,bot,as-is,A,2026-04-21T17:51:12.322220+00:00,2026-04-21T17:51:12.440692+00:00,success,,,a126311
bot-asis-A-0100-040D25,bot,as-is,A,2026-04-21T17:51:12.542948+00:00,2026-04-21T17:51:12.692973+00:00,success,,,a126311
bot-asis-A-0101-51DC79,bot,as-is,A,2026-04-21T17:51:12.794694+00:00,2026-04-21T17:51:12.919263+00:00,success,,,a126311
bot-asis-A-0102-BBC4AA,bot,as-is,A,2026-04-21T17:51:13.021865+00:00,2026-04-21T17:51:13.158153+00:00,success,,,a126311
bot-asis-A-0103-4FEEC6,bot,as-is,A,2026-04-21T17:51:13.261257+00:00,2026-04-21T17:51:13.377172+00:00,success,,,a126311
bot-asis-A-0104-780E7B,bot,as-is,A,2026-04-21T17:51:13.479138+00:00,2026-04-21T17:51:13.585355+00:00,success,,,a126311
bot-asis-A-0105-3EB603,bot,as-is,A,2026-04-21T17:51:13.687685+00:00,2026-04-21T17:51:13.818305+00:00,success,,,a126311
bot-asis-A-0106-05A925,bot,as-is,A,2026-04-21T17:51:13.920340+00:00,2026-04-21T17:51:14.024871+00:00,success,,,a126311
bot-asis-A-0107-7666D1,bot,as-is,A,2026-04-21T17:51:14.126990+00:00,2026-04-21T17:51:14.242049+00:00,success,,,a126311
bot-asis-A-0108-E29D5A,bot,as-is,A,2026-04-21T17:51:14.345205+00:00,2026-04-21T17:51:14.456797+00:00,success,,,a126311
bot-asis-A-0109-421331,bot,as-is,A,2026-04-21T17:51:14.558600+00:00,2026-04-21T17:51:14.667120+00:00,success,,,a126311
bot-asis-A-0110-1A435E,bot,as-is,A,2026-04-21T17:51:14.772104+00:00,2026-04-21T17:51:14.902527+00:00,success,,,a126311
