run_id,case,version,input_set,start_ts,end_ts,status,error_type,notes,commit_hash
bot-tobe-A-0000-223F87,bot,to-be,A,2026-05-06T02:01:32.424865+00:00,2026-05-06T02:01:33.293620+00:00,success,,,b1bdb8a
bot-tobe-A-0001-91C989,bot,to-be,A,2026-05-06T02:01:33.395923+00:00,2026-05-06T02:01:33.592782+00:00,success,,,b1bdb8a
bot-tobe-A-0002-75CE10,bot,to-be,A,2026-05-06T02:01:33.696477+00:00,2026-05-06T02:01:33.907186+00:00,success,,,b1bdb8a
bot-tobe-A-0003-008AD6,bot,to-be,A,2026-05-06T02:01:34.009038+00:00,2026-05-06T02:01:34.189858+00:00,success,,,b1bdb8a
bot-tobe-A-0004-227427,bot,to-be,A,2026-05-06T02:01:34.291768+00:00,2026-05-06T02:01:34.453432+00:00,success,,,b1bdb8a
bot-tobe-A-0005-3E4E40,bot,to-be,A,2026-05-06T02:01:34.555616+00:00,2026-05-06T02:01:34.814096+00:00,success,,,b1bdb8a
bot-tobe-A-0006-7E19C4,bot,to-be,A,2026-05-06T02:01:34.920718+00:00,2026-05-06T02:01:35.103322+00:00,success,,,b1bdb8a
bot-tobe-A-0007-37DAD6,bot,to-be,A,2026-05-06T02:01:35.205299+00:00,2026-05-06T02:01:35.395765+00:00,success,,,b1bdb8a
bot-tobe-A-0008-01936E,bot,to-be,A,2026-05-06T02:01:35.498129+00:00,2026-05-06T02:01:35.684691+00:00,success,,,b1bdb8a
bot-tobe-A-0009-35F14B,bot,to-be,A,2026-05-06T02:01:35.787197+00:00,2026-05-06T02:01:35.969045+00:00,success,,,b1bdb8a
bot-tobe-A-0010-C0FB87,bot,to-be,A,2026-05-06T02:01:36.071405+00:00,2026-05-06T02:01:36.246356+00:00,success,,,b1bdb8a
bot-tobe-A-0011-9696DA,bot,to-be,A,2026-05-06T02:01:36.350407+00:00,2026-05-06T02:01:36.540585+00:00,success,,,b1bdb8a
bot-tobe-A-0012-CFE809,bot,to-be,A,2026-05-06T02:01:36.642032+00:00,2026-05-06T02:01:36.851657+00:00,success,,,b1bdb8a
