run_id,case,version,input_set,start_ts,end_ts,status,error_type,notes,commit_hash
iot-tobe-A-0000-06E350,iot,to-be,A,2026-05-06T02:09:13.065325+00:00,2026-05-06T02:09:13.469379+00:00,success,,,b1bdb8a
iot-tobe-A-0001-C6A7F6,iot,to-be,A,2026-05-06T02:09:13.571610+00:00,2026-05-06T02:09:13.818803+00:00,success,,,b1bdb8a
iot-tobe-A-0002-6C4FE6,iot,to-be,A,2026-05-06T02:09:13.923915+00:00,2026-05-06T02:09:14.102675+00:00,success,,,b1bdb8a
iot-tobe-A-0003-13418E,iot,to-be,A,2026-05-06T02:09:14.205583+00:00,2026-05-06T02:09:14.395420+00:00,success,,,b1bdb8a
iot-tobe-A-0004-F7FDE4,iot,to-be,A,2026-05-06T02:09:14.497585+00:00,2026-05-06T02:09:14.697936+00:00,success,,,b1bdb8a
iot-tobe-A-0005-2ED567,iot,to-be,A,2026-05-06T02:09:14.800193+00:00,2026-05-06T02:09:14.988451+00:00,success,,,b1bdb8a
iot-tobe-A-0006-0B3251,iot,to-be,A,2026-05-06T02:09:15.115158+00:00,2026-05-06T02:09:15.276517+00:00,success,,,b1bdb8a
iot-tobe-A-0007-E444B9,iot,to-be,A,2026-05-06T02:09:15.378580+00:00,2026-05-06T02:09:15.585543+00:00,success,,,b1bdb8a
iot-tobe-A-0008-D53C47,iot,to-be,A,2026-05-06T02:09:15.687575+00:00,2026-05-06T02:09:15.876488+00:00,success,,,b1bdb8a
iot-tobe-A-0009-5A7D95,iot,to-be,A,2026-05-06T02:09:15.978928+00:00,2026-05-06T02:09:16.176854+00:00,success,,,b1bdb8a
iot-tobe-A-0010-0218C8,iot,to-be,A,2026-05-06T02:09:16.279028+00:00,2026-05-06T02:09:16.454644+00:00,success,,,b1bdb8a
iot-tobe-A-0011-489E0D,iot,to-be,A,2026-05-06T02:09:16.557821+00:00,2026-05-06T02:09:16.736981+00:00,success,,,b1bdb8a
iot-tobe-A-0012-AA8CC3,iot,to-be,A,2026-05-06T02:09:16.839690+00:00,2026-05-06T02:09:17.020787+00:00,success,,,b1bdb8a
iot-tobe-A-0013-3C0089,iot,to-be,A,2026-05-06T02:09:17.123907+00:00,2026-05-06T02:09:17.311037+00:00,success,,,b1bdb8a
iot-tobe-A-0014-80910E,iot,to-be,A,2026-05-06T02:09:17.414330+00:00,2026-05-06T02:09:17.582159+00:00,success,,,b1bdb8a
iot-tobe-A-0015-671710,iot,to-be,A,2026-05-06T02:09:17.684120+00:00,2026-05-06T02:09:17.876922+00:00,success,,,b1bdb8a
iot-tobe-A-0016-AA6DD5,iot,to-be,A,2026-05-06T02:09:17.979799+00:00,2026-05-06T02:09:18.175831+00:00,success,,,b1bdb8a
iot-tobe-A-0017-97827C,iot,to-be,A,2026-05-06T02:09:18.278163+00:00,2026-05-06T02:09:18.447831+00:00,success,,,b1bdb8a
iot-tobe-A-0018-209CC0,iot,to-be,A,2026-05-06T02:09:18.550852+00:00,2026-05-06T02:09:18.724859+00:00,success,,,b1bdb8a
iot-tobe-A-0019-B08F3D,iot,to-be,A,2026-05-06T02:09:18.828479+00:00,2026-05-06T02:09:19.009178+00:00,success,,,b1bdb8a
iot-tobe-A-0020-D9895F,iot,to-be,A,2026-05-06T02:09:19.113428+00:00,2026-05-06T02:09:19.308418+00:00,success,,,b1bdb8a
iot-tobe-A-0021-D990C2,iot,to-be,A,2026-05-06T02:09:19.411716+00:00,2026-05-06T02:09:19.592357+00:00,success,,,b1bdb8a
iot-tobe-A-0022-A3E884,iot,to-be,A,2026-05-06T02:09:19.694820+00:00,2026-05-06T02:09:19.883808+00:00,success,,,b1bdb8a
iot-tobe-A-0023-3DB15B,iot,to-be,A,2026-05-06T02:09:19.986130+00:00,2026-05-06T02:09:20.165368+00:00,success,,,b1bdb8a
iot-tobe-A-0024-1B835A,iot,to-be,A,2026-05-06T02:09:20.268426+00:00,2026-05-06T02:09:20.452317+00:00,success,,,b1bdb8a
iot-tobe-A-0025-9D6AD1,iot,to-be,A,2026-05-06T02:09:20.555313+00:00,2026-05-06T02:09:20.722819+00:00,success,,,b1bdb8a
iot-tobe-A-0026-E70DF9,iot,to-be,A,2026-05-06T02:09:20.825621+00:00,2026-05-06T02:09:20.991165+00:00,success,,,b1bdb8a
iot-tobe-A-0027-51BC67,iot,to-be,A,2026-05-06T02:09:21.093783+00:00,2026-05-06T02:09:21.267991+00:00,success,,,b1bdb8a
iot-tobe-A-0028-9BBC1E,iot,to-be,A,2026-05-06T02:09:21.370422+00:00,2026-05-06T02:09:21.576957+00:00,success,,,b1bdb8a
iot-tobe-A-0029-00A355,iot,to-be,A,2026-05-06T02:09:21.679475+00:00,2026-05-06T02:09:21.839991+00:00,success,,,b1bdb8a
iot-tobe-A-0030-4E3522,iot,to-be,A,2026-05-06T02:09:21.941927+00:00,2026-05-06T02:09:22.102131+00:00,success,,,b1bdb8a
iot-tobe-A-0031-6A2688,iot,to-be,A,2026-05-06T02:09:22.204620+00:00,2026-05-06T02:09:22.436949+00:00,success,,,b1bdb8a
iot-tobe-A-0032-C2E952,iot,to-be,A,2026-05-06T02:09:22.539207+00:00,2026-05-06T02:09:22.730522+00:00,success,,,b1bdb8a
